No,Unit,Question,CorrectAnswer,Image,Explanation
1,性能・障害管理,コンピュータシステムに関する評価指標で、信頼性、可用性、保守性、完全性、安全性の5項目の英文字の頭文字を組み合わせた用語。,RASIS,,"システムの『強さ』や『使いやすさ』を測る、5つの頭文字を繋げた呪文のような言葉だよ。"
2,性能・障害管理,システムの故障発生が少ないこと。,信頼性,,"『このシステムなら安心！』と思える、壊れにくさのことだね。"
3,性能・障害管理,一定期間にシステムが正常に使える時間の割合が長いこと。,可用性,,"『使いたい時にいつでも使える』という便利さの度合いのことだよ。"
4,性能・障害管理,故障の際の修復時間が短いこと。,保守性,,"壊れた時に『どれだけ早く直せるか』というメンテナンスのしやすさのことだね。"
5,性能・障害管理,データの矛盾が起きないように、その整合性を維持すること。,完全性,,"データが壊れたり、適当に書き換わったりしない『正しさ』のことだよ。"
6,性能・障害管理,不正に情報を持ち出したりすることから守ること。,安全性,,"外からの攻撃や、情報の漏洩（ろうえい）を防ぐガードの固さのことだね。"
7,性能・障害管理,コンピュータシステムが、一定時間内で正常に動作している時間の割合（確率）。,稼働率,,"全体の中で、システムが元気に動いている時間のパーセントのことだよ。"
8,性能・障害管理,コンピュータシステムが故障してから復旧し、次に故障するまでの平均時間。,平均故障間隔（MTBF）,,"壊れてから次に壊れるまでの、元気でいられる平均の時間のことだよ。"
9,性能・障害管理,コンピュータシステムが故障してから、完全に復旧するまでの平均時間。,平均修復時間（MTTR）,,"故障した時に、どれくらいで修理が終わるかという平均の時間だね。"
10,性能・障害管理,コンピュータシステムや通信回線などが、一定の時間内に処理できる仕事量や伝送できる情報量。,スループット,,"ネットやパソコンが、一度にどれだけの量のお仕事をこなせるかというパワーのことだよ。"
11,性能・障害管理,コンピュータシステムに処理を要求してから、最初の応答が得られるまでの時間。,レスポンスタイム,,"ボタンを押してから『反応』が返ってくるまでの、待ち時間のことだよ。"
12,性能・障害管理,コンピュータに処理実行の指示を出してから、すべての実行結果が得られるまでの時間。,ターンアラウンドタイム,,"お仕事をお願いして、全部終わって結果が届くまでの合計時間の呼び方だよ。"
13,性能・障害管理,事前に予備のシステムを準備しておき、障害が発生しても対応できるようにするシステム。,フォールトトレラント,,"一部が壊れても、予備がすぐ動いてお休みしない、タフなシステムの考え方だよ。"
