No,Unit,Question,CorrectAnswer,Image,Explanation
1,ソフトウェアの構成,ハードウェアとアプリケーションソフトウェアの間で動作し、それぞれを管理、制御するソフトウェア。,OS（オペレーティングシステム）,apple.png,コンピュータ全体の資源を管理する、最も基本的なソフトウェア（基本ソフト）です。
2,ソフトウェアの構成,表計算ソフトウェアやワープロソフトウェアのように、特定の目的に利用するためのソフトウェア。,アプリケーションソフトウェア,,OSの上で動作し、特定の作業（応用作業）を行うためのソフトウェアです。
3,ソフトウェアの構成,コンピュータにソフトウェアを保存して、使用可能な状態にすること。セットアップともいう。,インストール,,外部から取り込んだソフトをシステムに組み込み、使える状態にする作業です。
4,ソフトウェアの構成,コンピュータからソフトウェアを削除して、使用不可能な状態にすること。,アンインストール,,インストールしたソフトを、設定ファイルを含めてシステムから削除することです。
5,ソフトウェアの構成,ソフトウェアを最新の状態に更新すること。,アップデート,,不具合の修正や新機能の追加のために、プログラムを新しい版（バージョン）に更新します。
6,ハードウェアの構成,半導体基板の上に、複数の電子部品を組み込んだ回路。,集集成回路,,シリコンなどのチップ上に大量の素子を詰め込んだもの。ICやLSIと呼ばれます。
7,ハードウェアの構成,電源を切っても記憶内容が消えない。読み取り専用のメモリ。,ROM,,「Read Only Memory（読み出し専用）」の略。起動用プログラムなどが書き込まれています。
8,ハードウェアの構成,電源を切ると記憶内容が消える。書き込みと読み取りが可能なメモリ。,RAM,,「Random Access Memory」の略。作業中のデータを一時的に置いておく高速なメモリです。
9,ハードウェアの構成,プログラムを解読して計算処理などを行い、各装置を制御するコンピュータの中心部分。,CPU（中央処理装置）,,コンピュータの司令塔として、全ての計算や制御を司る「プロセッサ」のことです。
10,ハードウェアの構成,コンピュータにおける五大装置の中で、記憶装置の命令を取り出して解読し、各装置に指示を与える装置。,制御装置,,プログラムの命令を解釈し、他の装置の動作をコントロールする装置です。
11,ハードウェアの構成,コンピュータにおける五大装置の中で、データの四則計算や比較判断を行う装置。,演算装置,,算術計算や論理判断を高速に実行するための装置です。
12,ハードウェアの構成,コンピュータにおける五大装置の中で、プログラムやデータをためておく装置。,記憶装置,,情報を保持するための装置。メインのメモリやHDDなどがこれに含まれます。
13,ハードウェアの構成,記憶装置のうち、コンピュータ本体に組み込まれ、CPUから直接データを読み書きできる記憶装置。メモリと呼ばれる。,主記憶装置,,CPUが直接命令を実行するために必要な、一時的な作業場所（メインメモリ）です。
14,ハードウェアの構成,記憶装置のうち、CPUから直接データを読み書きできない記憶装置。電源を切っても記憶内容は消えない。,補助記憶装置,,主記憶の容量不足を補い、データを長期保存するための装置です。
15,ハードウェアの構成,複数の金属製の円盤を回転させ、磁気を利用してデータの読み書きを行う補助記憶装置。,ハードディスク,,磁気ディスクを高速回転させて読み書きする、大容量で安価な記録装置（HDD）です。
16,ハードウェアの構成,大容量の半導体メモリを用いた補助記憶装置。ハードディスクに比べ、省電力、耐衝撃性、起動速度などに優れている。,SSD,,フラッシュメモリを使用しており、HDDよりも圧倒的に読み書きが速いのが特徴です。
17,ハードウェアの構成,光ディスクに、赤色レーザ光線を用いて約4.7GB読み書きできる記憶媒体。映像の記録などに用いる。,DVD,,赤色のレーザ光を使用する、映画の記録などでおなじみの光ディスク規格です。
18,ハードウェアの構成,光ディスクに、青紫色レーザ光線を用いて約25GB読み書きできる記憶媒体。高画質の映像を記録できる。,ブルーレイディスク,,波長の短い青紫色レーザを使うことで、DVDより多くの情報を詰め込めます。
